id,nome,cpf,data_nasc,conta,compro_em,compro_facul,cnh,mba
1,Shepard Carnaman,555.292.007-05,11/07/2001,53856-26,false,false,false,false
2,Aurore Kalinsky,005.256.887-23,05/02/1982,73907-12,true,false,true,false
3,Malia Richarson,302.366.641-10,02/12/1954,64879-59,false,false,true,true
4,Corey Callear,300.548.496-36,16/01/1984,67451-74,false,false,false,true
5,Dulciana Currier,212.079.537-56,19/12/1998,31577-15,false,true,true,true
6,Lynde Oxley,406.845.669-86,18/07/1961,03631-22,true,true,false,true
7,Ki Cheesworth,061.052.206-06,12/11/1982,99254-78,true,false,true,false
8,Toddy Frede,863.265.303-66,26/01/1987,08320-47,false,true,true,false
9,Sampson Eplett,388.819.566-97,31/07/1970,12189-42,false,false,true,false
10,Paulina Libbey,078.658.327-07,16/03/1956,94516-67,false,true,true,false
11,Susanetta Parmer,348.924.980-77,26/06/1966,80609-10,false,true,true,true
12,Timothea Blaxeland,512.631.767-68,17/08/1991,22753-74,false,false,false,false
13,Honor Markwelley,083.492.967-05,10/05/1996,14177-96,false,true,false,false
14,Ilene Pouck,455.564.483-45,15/07/1954,73639-90,true,true,false,false
15,Dennet Deery,761.574.544-88,17/03/1957,41744-53,true,true,false,true
16,Symon Beckford,720.372.724-82,13/05/1970,31472-02,true,false,false,true
17,Fara Alvares,909.455.959-43,06/04/1953,81446-52,true,true,true,true
18,Hazel Pettyfar,421.958.136-38,20/02/1990,53909-59,false,true,true,true
19,Danita Humble,663.272.905-43,23/10/1958,14184-26,true,true,true,true
20,Issiah McGruar,727.664.487-07,01/04/1969,39979-96,true,true,false,false
21,Tome McCorry,496.527.149-80,28/03/2003,36194-78,true,false,false,true
22,Shepherd Rabbe,135.373.078-89,03/06/1959,20521-39,true,true,false,true
23,Breena Brandt,560.487.832-90,06/07/1979,35857-61,false,false,false,true
24,Angie MacMechan,514.825.017-03,10/07/1954,80386-75,false,false,false,false
25,Maddie Bendin,236.535.802-43,09/12/1985,66169-84,false,true,false,true
26,Marney Balderston,972.924.500-02,22/07/1950,86202-82,false,false,true,true
27,Giselle Deane,049.079.910-16,01/01/1972,18626-63,true,true,true,true
28,Rees Rennenbach,751.137.255-38,25/05/1994,43150-65,true,false,false,true
29,Arlie Iwaszkiewicz,226.170.155-05,29/05/1987,97685-29,true,true,true,true
30,Elden Blakeway,688.252.412-43,10/12/1951,20152-53,false,true,true,true
31,Cassie Bromfield,573.597.834-50,31/03/2002,35927-45,true,true,false,false
32,Alexandro Grannell,666.056.609-83,06/07/1999,41254-20,false,false,false,false
33,Rip Burtonshaw,580.897.940-42,22/02/1978,91559-83,true,false,true,false
34,Joelle Adshed,208.114.377-53,01/01/1977,33212-48,true,true,true,true
35,Buck Tzarkov,677.645.718-61,10/08/1982,50380-68,true,true,true,false
36,Giacopo Ballendine,727.896.827-51,23/01/1967,57155-72,false,true,false,false
37,Cal Coggings,819.954.369-57,18/07/1950,49542-08,false,true,false,false
38,Ber Rigg,691.543.297-95,10/11/1970,40496-51,false,false,false,true
39,Melita Goricke,623.883.019-15,01/06/1961,29950-89,true,false,false,false
40,Pincus Lockner,792.456.619-96,17/09/1953,95124-31,false,false,false,true
41,Fraze Fellman,666.935.953-03,15/08/1950,18370-99,true,true,true,false
42,Ivan Lyfe,677.009.069-60,19/05/1992,25262-55,false,false,false,false
43,Ardelle McPhater,414.414.533-53,17/09/1955,46792-67,true,false,true,true
44,Abigale Pethybridge,994.089.747-87,07/03/1951,40647-16,false,false,false,true
