id,nome,cpf,data_nasc,conta,compro_em,compro_facul,cnh,mba
1,Barnabe Melior,195.899.163-97,07/12/1979,90880-93,false,false,false,false
2,Appolonia Gosnell,654.133.671-89,21/07/1970,12565-72,true,false,false,true
3,Arron Bartolomeoni,007.092.174-03,08/02/1956,33836-04,true,false,true,false
4,Mohandis Simkiss,435.329.900-33,11/11/1972,94522-50,true,true,false,true
5,Allyn Korb,880.710.099-12,28/04/1962,74696-99,false,false,false,true
6,Daffie Dannehl,671.257.284-07,29/05/1992,95284-19,true,false,true,true
7,Jorey Earp,787.522.540-88,22/12/1971,62429-23,true,false,false,true
8,Anthiathia Comelini,299.454.253-65,06/01/2000,79901-98,false,true,false,true
9,Verina Reburn,818.373.248-14,03/10/1957,49469-41,false,true,true,false
10,Alric Vasyutichev,793.665.460-49,10/01/1979,81583-99,true,true,true,true
11,Darbee St Louis,333.998.118-23,29/06/1961,19366-80,true,true,false,true
12,Aliza Moyler,939.049.537-57,23/08/1962,88582-38,false,false,false,true
13,Johanna Prothero,674.495.627-77,20/12/1972,35858-33,true,false,false,true
14,Lenka Alp,402.436.685-04,16/11/1991,36506-82,false,true,true,true
15,Lloyd Merlin,838.863.616-95,14/07/1955,83979-32,true,false,false,false
16,Selle Kettridge,035.655.764-08,05/06/1968,40974-12,false,false,false,true
17,Reeta Masic,597.337.348-54,27/02/1979,04567-11,true,true,true,false
18,Chevy Hoff,194.042.058-32,29/01/1991,68334-86,false,false,false,false
19,Veda De Atta,316.452.800-59,14/06/1981,91360-04,false,false,true,true
20,Jannel Duckworth,152.710.947-66,07/09/1953,46617-51,true,true,true,true
21,Taffy Kydde,021.031.908-04,03/04/1978,20292-94,true,true,true,true
22,Jaquelin Huniwall,100.651.430-68,17/11/1976,13990-15,false,true,false,true
23,Reuben Mears,573.388.238-90,15/11/1981,07973-04,true,true,false,true
24,Carce Kimmons,478.178.940-37,23/12/1985,90971-80,true,false,true,false
25,Alejandrina Pryer,469.042.550-42,28/01/1989,15328-63,true,true,true,true
26,Myrwyn Stark,268.439.529-70,08/09/1981,30751-54,false,false,false,true
27,Clayborne Francillo,605.227.596-91,05/02/1987,99319-87,true,false,true,false
28,Whitney Paule,976.517.883-27,16/09/1966,25473-75,false,false,true,true
29,Cordelie Lemarie,978.206.499-18,07/10/1972,38483-12,true,true,true,true
30,Ryun Boyles,643.878.492-86,13/07/2001,93746-19,false,false,false,true
