id,nome,cpf,data_nasc,conta,compro_em,compro_facul,cnh,mba
1,Regan Chaffyn,813.365.554-36,19/09/1977,58695-06,true,false,false,true
2,Craggie Lintill,929.903.492-28,17/08/1970,11629-01,true,true,false,false
3,Ludvig Gowlett,456.223.827-23,18/12/1997,35652-23,true,false,true,false
4,Augie Royson,513.184.403-45,17/06/1962,61801-98,true,false,false,false
5,Clovis Tebbut,255.217.779-29,17/09/1956,10319-90,false,true,false,false
6,Nedda Bampkin,298.746.850-93,21/12/1955,65625-09,false,false,false,false
7,Inger Turbern,374.790.208-99,30/07/1977,40660-90,false,false,true,false
8,Eden Rack,625.515.617-14,06/07/1978,58975-74,true,false,true,false
9,Brianne Watts,163.975.722-74,31/08/1980,61932-73,true,false,true,false
10,Reuben Siccombe,020.437.531-02,10/08/1951,91228-87,false,false,true,true
11,Saunder McCrie,576.899.825-45,02/05/1960,71979-94,true,true,false,true
12,Chip Shearman,678.393.012-28,14/06/1995,66934-39,false,false,true,false
13,Bartholomew Circuit,346.850.807-19,14/06/1967,85887-77,false,true,true,true
14,Sibylla Lumm,827.543.200-94,26/05/2003,44812-68,true,true,true,true
15,Evangeline Rainy,871.734.095-75,13/01/2000,94328-21,false,false,false,true
16,Cecily Ather,366.213.664-88,26/04/1970,80707-31,false,false,false,false
17,Abbey Tomankowski,025.980.024-52,10/09/1959,93993-04,true,false,false,true
18,Mary Currer,208.315.717-34,28/03/2001,63591-07,true,true,true,false
19,Skipton Killshaw,791.597.370-33,28/07/2002,41909-40,true,true,false,false
20,Drucie Thinn,123.124.059-10,25/10/1978,14888-22,false,true,false,false
21,Frederik Collomosse,091.910.344-77,23/10/1996,00296-68,false,true,false,true
22,Gal Jeffcock,114.410.238-44,06/12/1995,34860-94,true,true,false,false
23,Sarine Robuchon,816.451.660-37,30/06/1962,26966-13,true,false,false,false
24,Hilliard Ingman,320.309.988-29,07/10/1980,51915-97,false,false,false,false
25,Skylar Garvey,444.866.739-52,05/07/1955,20673-72,true,false,false,true
26,Xymenes Jasik,479.356.255-63,10/01/1975,05360-79,true,false,false,false
27,Pearline Styant,905.335.194-00,19/09/1989,52074-73,true,false,false,true
28,Skipton Gutridge,945.979.119-90,07/05/1970,18344-87,true,true,false,true
29,Dotti Wyllis,094.225.767-03,21/04/1991,55139-60,false,false,true,true
30,Lizette Pohlke,226.294.177-89,14/07/1985,52726-44,false,false,false,false
31,Anne-marie Abramchik,029.026.975-90,08/11/1978,27333-80,true,false,false,false
