id,nome,cpf,data_nasc,conta,compro_em,compro_facul,cnh,mba
1,Herminia Ivory,107.563.595-01,07/05/1981,90722-87,false,false,true,true
2,Shanna Jory,691.510.971-93,20/09/1952,60084-10,false,false,true,true
3,Babbie Annies,109.013.530-27,26/07/1960,04961-17,false,false,true,true
4,Woodman Kosel,559.862.668-66,29/03/2003,18624-85,true,true,true,false
5,Meris Keneleyside,566.286.892-92,28/02/1972,62883-67,true,false,false,true
6,Farly Kretchmer,547.350.985-70,01/11/1963,24767-72,true,true,false,true
7,Ian Edbrooke,178.485.868-85,31/10/2003,74139-67,false,false,true,true
8,Horatio Millberg,988.748.082-84,01/12/1989,85387-64,true,true,true,true
9,Faulkner Kowalik,411.166.938-85,16/11/1958,37235-31,true,true,true,false
10,Fifi Cessford,781.860.671-29,04/03/1989,59390-61,false,false,false,false
11,Adda Maxfield,597.260.342-87,06/05/1999,66249-63,false,true,true,false
12,Haydon Mityashev,794.524.397-52,13/12/1996,99974-21,true,false,true,false
13,Hendrika Kubacek,090.653.588-12,23/05/1966,90557-32,false,false,true,true
14,Anne Bradane,399.664.102-17,27/03/1971,98766-92,false,true,true,true
15,Herbie Gipps,480.251.828-95,30/05/1987,47619-67,true,false,true,true
16,Deloria Matherson,774.545.960-87,13/07/1971,16383-84,true,false,true,true
17,Luce Keable,765.616.310-33,27/08/1961,45913-41,true,true,true,false
18,Rudd Wadeson,235.410.835-41,09/02/1970,89093-11,true,false,false,false
19,Kincaid Eve,651.820.893-21,08/05/1993,65717-51,false,false,false,true
20,Stillman Lehr,546.985.827-68,18/01/1966,88965-77,false,false,false,true
21,Nona Robbins,929.411.806-58,04/08/2001,39269-04,true,false,true,true
22,Jeane Ivie,233.857.030-67,19/09/1951,49464-88,true,false,true,true
23,Eldin Hankey,176.979.753-48,19/04/1999,24023-01,true,true,false,true
24,Bryn Vellacott,615.140.805-95,30/07/1979,73623-73,true,false,false,true
25,Trudie O'Duilleain,704.723.245-25,22/02/1956,01222-74,true,false,true,true
26,Stacee Piers,090.171.094-26,09/03/1976,33316-47,false,false,true,true
27,Karmen Digle,188.890.704-74,18/02/2000,18721-91,true,true,false,false
28,Jilli Vial,754.405.091-77,20/05/1961,73056-67,true,false,false,false
29,Hurleigh Temple,533.513.677-94,11/11/1960,35117-67,true,false,false,true
30,Flin Stanlock,303.438.669-24,12/05/1991,44839-36,true,false,false,false
31,Wendel Beevers,715.169.016-06,20/05/1974,84061-02,true,true,true,false
32,Raymund Caras,409.095.356-73,01/10/1974,89459-73,true,true,false,true
33,Bancroft Witnall,308.526.272-49,27/02/1984,30691-66,false,true,true,false
34,Gilbert Le Fevre,753.689.151-85,28/07/1999,86271-02,false,true,true,true
35,Piper Chasier,690.990.830-29,14/10/1982,62060-88,true,false,true,true
36,Ulick Clayal,234.117.780-95,09/12/1990,65048-87,false,true,false,false
37,Kassie Issacov,109.771.975-94,26/11/2002,09624-34,false,true,false,false
38,Nilson Pindred,814.583.445-39,08/07/1994,08880-21,false,false,false,true
39,Aymer Hallwood,840.703.887-00,02/02/1961,92164-66,false,true,true,true
40,Allin Storrar,357.770.186-48,19/05/1958,86712-15,false,true,true,true
41,Rodolph Date,955.824.327-72,18/12/1955,51095-12,false,false,false,false
