id,nome,cpf,data_nasc,conta,compro_em,compro_facul,cnh,mba
1,Hynda Filyukov,645.280.036-76,10/07/1986,62968-10,true,true,true,true
2,Sheela Farlham,982.463.822-08,10/10/2003,64169-64,false,false,false,false
3,Adore McTurk,173.623.137-49,03/02/1964,89047-00,false,true,false,false
4,Judd Corpes,204.383.616-30,31/01/1979,17915-90,false,true,true,false
5,Sophia Antoszewski,765.545.831-79,08/11/1969,25341-95,true,true,false,true
6,Scotty Stead,605.834.474-27,13/07/1953,41593-89,true,false,false,false
7,Rustin Rawlcliffe,866.754.351-69,16/02/2003,21079-83,false,false,false,false
8,Joan Gallo,129.295.294-41,09/10/1967,71493-01,true,true,true,true
9,Elihu Kobierra,700.195.906-68,03/05/1954,64120-51,false,true,false,false
10,Rossy Salvadore,462.176.274-86,04/01/1985,82989-21,false,false,true,true
11,Ilise Wendover,929.393.624-70,22/09/1984,85641-32,true,false,true,true
12,Rani Francklyn,789.708.450-10,26/01/1953,87946-62,true,true,false,false
13,Patti McKinnell,101.279.314-49,15/02/1971,58458-54,true,true,false,true
14,Lorilyn Izzatt,791.787.855-28,22/06/1963,42260-95,true,true,true,false
15,Dehlia Stango,139.786.462-81,10/04/1973,39761-24,false,false,true,false
16,Quintilla Power,396.101.375-07,29/08/2003,79001-54,true,true,true,false
17,Bernelle Danilowicz,551.949.852-10,22/09/1979,58339-72,false,true,false,true
18,Una Cromblehome,181.603.275-95,07/11/1996,89934-10,true,false,false,false
19,Gail Rowesby,495.742.847-46,04/10/1994,34374-17,false,false,false,true
20,August Comfort,390.473.600-46,01/09/1952,61206-21,false,true,false,false
21,Isador Whiffen,792.128.540-18,18/12/1990,60043-39,true,true,false,false
22,Evered De Giovanni,875.486.458-96,30/04/1983,56673-77,false,true,false,false
23,Wenona Riepel,975.089.606-07,08/01/1966,43405-32,true,false,true,true
24,Sibelle Hallard,278.535.648-96,10/03/1961,97141-49,false,true,true,true
25,Fielding Antonoczyk,530.598.059-66,10/08/2001,91578-25,true,true,true,false
26,Guss Stirrip,137.544.499-58,14/08/1976,37467-17,true,false,false,true
27,Claudie Sarsons,188.258.191-00,05/10/1961,99050-94,false,true,false,false
28,King Stobie,648.979.156-66,09/07/1997,18935-56,false,true,false,true
29,Nollie Yanyushkin,674.899.228-10,18/12/1978,58252-70,true,false,true,true
30,Corine McLaren,779.187.157-18,22/05/2000,02839-66,false,true,false,false
31,Amalee Dibbin,183.520.810-84,16/06/1953,94218-24,true,false,false,true
32,Brian Sign,807.633.829-76,09/12/2003,66886-21,true,true,false,true
33,Burnaby Knappett,795.210.412-74,28/01/1997,55607-08,true,true,false,false
34,Jeanine Ortells,118.378.090-92,19/05/1972,48315-68,true,true,true,false
35,Antonia Jeff,513.431.365-46,11/04/1976,24315-66,false,false,false,true
36,Elsey Iacopini,267.775.719-53,15/10/1990,16175-95,false,false,true,true
37,Arabelle Pierson,961.202.447-73,15/07/1968,58291-51,false,true,false,true
38,Tome Meagh,276.376.787-99,21/04/1986,45559-57,false,true,false,true
39,Ase Greenleaf,514.833.732-91,30/12/1956,95495-16,false,true,true,true
40,Ailsun Vassbender,502.803.563-09,20/10/1965,03377-24,false,false,true,true
41,Padraig Bartolomeoni,439.783.066-01,20/12/1980,02229-17,false,false,true,true
42,Issi Graalmans,899.576.602-30,05/12/1963,19152-53,false,true,false,false
43,Jecho Day,100.074.920-44,22/02/1951,85854-21,true,false,true,true
44,Melany Biles,485.051.664-72,30/11/1959,60163-99,true,false,true,false
45,Lance Provis,959.951.592-60,15/10/2001,95971-96,true,true,true,false
46,Elli Blackborough,380.931.314-87,23/07/2001,62918-79,true,true,true,false
47,Teri Hindes,683.168.311-35,12/05/1992,61427-55,false,true,true,false
48,Bar Bellord,218.026.488-49,07/04/1979,14185-84,false,false,false,false
49,Quill Pedlow,845.154.552-62,01/09/1988,05120-00,false,false,true,false
50,Jareb Hindmore,030.480.949-01,22/05/1993,98937-70,true,true,false,true
51,Lucia Frodsham,087.893.538-48,02/10/1962,48363-51,false,true,false,true
52,Vivienne Mayow,317.749.380-09,13/06/1970,13826-21,true,false,true,true
53,Curtice Scamerdine,708.086.577-67,09/06/1965,00426-06,true,false,false,false
54,Aurie Tummasutti,151.479.855-30,12/04/2003,30250-33,false,false,false,false
55,Kathryne Domeney,030.421.287-58,04/09/1976,99225-42,true,false,true,true
56,Riobard Shine,766.011.149-29,26/03/1998,83942-79,true,false,false,true
57,Arnaldo Linde,162.812.317-77,22/06/2002,39503-99,true,true,false,true
58,Carleen McIlenna,394.779.897-81,24/03/1994,04791-23,true,true,false,true
59,Adiana Worstall,678.090.174-73,21/03/1986,08124-91,false,true,false,true
60,Phyllida Bannerman,879.636.708-99,25/06/1959,04147-23,true,true,true,true
61,Leighton Jaycox,319.204.103-68,13/01/1985,39331-66,true,true,false,false
62,Ebony Doogan,771.732.155-22,27/08/1980,36337-78,false,true,false,false
63,Blondelle Waddell,642.713.393-57,07/06/1988,61501-24,false,true,true,true
64,Leta Draper,357.521.622-49,02/03/1995,10977-76,false,true,true,false
65,Abra Simonnet,726.889.021-87,29/11/1992,21481-54,true,true,true,false
66,Nev Davidzon,094.253.466-27,17/10/1967,81607-87,false,false,false,true
67,Jodi Glentworth,948.061.765-41,08/07/1964,76969-86,false,false,false,true
68,Benjamen Batecok,315.332.990-08,29/11/1970,80348-85,false,false,false,false
69,Ellwood Hammand,390.601.987-76,29/09/1975,49047-76,true,true,true,false
70,Seana Habishaw,032.926.039-26,24/07/1987,20588-42,true,false,true,false
71,Crosby Strickland,677.206.298-12,04/02/1967,98655-04,true,true,true,false
72,Pattie Rizzelli,920.453.217-49,07/03/2001,86312-85,true,false,true,false
73,Robina Cluitt,288.954.857-38,11/08/1969,81673-14,false,false,false,true
74,Hewie Hackford,597.105.546-93,11/02/1986,26809-67,false,true,true,false
75,Lorrie Heenan,719.139.385-20,10/11/1992,24616-84,true,false,false,false
76,Mehetabel Greaser,278.758.588-29,14/09/1950,89613-67,true,true,false,true
77,Archambault Blaszczyk,771.669.232-19,02/02/1952,62173-03,true,true,false,false
78,Hana Jackett,097.031.247-18,31/07/1991,20712-74,false,true,true,true
79,Dollie Chalker,851.577.335-97,06/06/1954,47648-36,false,true,false,true
80,Becca Haulkham,892.545.118-63,14/02/1989,49450-67,false,false,true,false
81,Earle Brockherst,092.752.143-86,06/01/1998,05352-20,false,true,true,true
82,Odelia Mathis,732.869.733-86,28/10/1980,17416-34,true,true,false,false
83,Leanna Allwood,209.917.110-61,11/07/1951,62623-02,false,true,true,true
84,Bendicty Hendrichs,975.268.810-64,29/12/1968,87903-97,false,true,false,true
85,Joyce Matonin,163.122.463-72,26/12/1962,89606-30,false,false,false,false
86,Kristin Ancell,049.676.492-48,30/08/1973,26926-61,true,true,false,true
87,Corrie Cardenoza,413.977.427-16,07/09/1950,58490-09,false,false,true,false
88,Adena Osan,557.794.791-79,11/11/1956,91245-10,true,true,true,true
89,Pier Ridley,264.557.511-75,19/02/1950,25630-21,true,true,false,true
90,Anya Van Ross,192.841.412-57,24/06/1981,72225-74,false,false,true,false
91,Irene Mateev,695.497.887-63,04/10/1964,45172-33,true,true,false,true
92,Ade Moulson,168.151.699-82,03/08/2000,96968-44,true,false,false,true
93,Roby Pughsley,966.910.070-44,03/03/1969,95896-71,false,true,true,false
94,Reuben Eckford,043.416.328-36,30/08/1991,83654-81,true,false,false,true
95,Arleta Tuffley,600.675.523-51,11/04/1995,68705-98,true,false,true,false
96,Gayle Kirkness,132.404.358-20,11/07/1983,35468-00,false,false,true,true
97,Conan Abramin,898.149.962-60,01/09/1984,89382-26,false,false,false,false
98,Winston Conlon,662.882.666-32,10/03/1959,59079-36,true,true,false,false
99,Adrienne Dunnet,634.819.567-10,21/06/1986,35544-79,false,true,false,true
100,Jackie Shipcott,877.119.449-58,24/07/1962,43184-99,true,false,true,true
101,Lindsy Comizzoli,142.321.794-82,06/03/1950,00142-24,false,true,true,false
102,Shani Deeth,446.867.892-09,29/10/1984,38082-00,true,true,true,false
103,Lotty Cragell,034.599.054-59,10/04/1987,21764-04,true,false,false,true
104,Ira Defond,506.624.647-57,03/02/1955,64323-69,true,false,false,true
105,Nilson Muckloe,109.273.927-07,17/09/1958,13111-84,true,false,false,true
106,Ivette Pettegre,687.247.423-23,24/07/1988,51373-84,true,false,true,true
107,Gavin Roxburgh,794.220.568-37,31/03/1952,45968-07,false,false,true,false
108,Dewain Chasson,677.482.183-32,24/02/1983,25243-48,false,true,true,false
109,Melany Benoi,482.594.424-16,10/07/1981,41299-69,true,true,true,false
110,Michel Ryal,073.485.206-85,28/02/1990,93182-47,true,true,true,true
111,Humberto McKnish,792.960.972-40,30/09/1954,77562-90,false,false,true,true
112,Bradly Keatch,539.698.236-85,23/01/1972,91484-00,false,false,false,true
113,Penni Zavattari,656.440.048-41,28/12/1973,57781-32,false,false,false,true
114,Neal Eatock,069.199.420-58,21/01/1952,23599-66,true,false,true,true
115,Jacenta Vannacci,512.566.702-34,21/07/1964,31597-93,false,true,true,true
116,Graig Whitesel,915.758.327-31,18/12/1968,16544-28,false,false,false,false
117,Odelia Fundell,419.410.288-93,04/08/1978,98709-18,false,true,false,true
118,Davidde Sinncock,194.341.321-45,30/07/2001,87929-49,true,true,false,true
119,Cecile Scotchbrook,693.533.506-05,02/06/1971,51616-37,true,false,false,false
120,Rooney Cannaway,497.040.805-88,19/05/1992,92689-40,false,false,false,true
121,Domini Denham,480.975.776-26,26/04/1983,69448-52,false,false,false,false
122,Creight Bridgewater,019.994.436-87,10/08/1969,00570-22,true,true,false,false
123,Etienne Curran,628.968.278-06,05/05/1978,31160-31,true,true,true,true
124,Demetria Wardall,606.718.223-81,25/05/1971,91662-70,false,false,false,true
125,Shara Eglese,146.726.411-27,18/06/1951,54352-84,true,false,false,false
126,Dorolice Wiggall,893.916.649-82,12/04/1979,40542-43,false,true,false,true
127,Christiana Bointon,462.370.877-42,26/10/1974,11828-22,true,false,false,true
128,Karlyn Alkin,287.675.134-44,12/06/1992,23676-29,true,true,false,true
129,Ansell Kohrsen,290.242.948-70,22/09/1963,12261-10,false,true,true,false
130,Teresina Brew,134.963.175-74,19/10/1960,35648-71,false,true,true,false
131,Minny Paye,690.461.750-69,16/03/1969,73312-56,false,false,false,true
132,Cleavland Iacovelli,820.069.531-28,05/10/1965,84627-01,true,false,false,false
133,Celestina Flucker,049.328.381-68,05/04/1995,55544-77,true,true,true,true
134,Linoel Gellately,105.571.563-50,20/12/1966,08040-93,true,true,true,true
135,Maury Sowte,200.896.594-72,14/04/1993,68160-87,false,true,true,true
136,Clyde Waddicor,113.123.348-43,09/06/1997,66051-96,true,false,true,true
137,Gradey Gonnard,698.095.637-84,22/11/1977,25185-82,true,false,false,false
138,Cindie Menear,721.565.221-09,22/12/1984,42741-62,true,false,true,false
139,Aurelie Southeran,842.048.897-69,31/01/1969,66375-29,false,true,false,true
